side,setup_type,bridge_type,entry_variant,setup_tier,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,entry_time,exit_time,return_pct,pnl,symbol,exchange,timeframe,report_contracts,dollars_per_point,entry_time_et,exit_time_et,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et,calendar_exit_date_et,exit_apex_session_date,realized_points,gross_pnl_dollars_dynamic,planned_target_dollars_dynamic
SHORT,NYAM_CONTINUATION,C2C3,PULLBACK_1M,A,4863.9,4900.298571428571,4791.552857142858,4827.801428571429,4791.552857142858,36.39857142857181,72.34714285714199,1.9876368774284257,4863.9,4900.298571428571,2026-03-18 14:27:00,2026-03-18 17:24:00,-0.007483412781630339,-727.9714285714363,MGC,tradovate,1m,5,50.0,2026-03-18 10:27:00-04:00,2026-03-18 13:24:00-04:00,2026-03-18 10:27:00,2026-03-18 13:24:00,2026-03,2026-03,2026-03-18,2026-03-17,-36.39857142857181,-1819.9285714285907,3617.3571428570995
SHORT,NYAM_CONTINUATION,iFVG,PULLBACK_1M,B,46575.0,46749.62142857143,46114.0,46417.87857142857,46114.0,174.62142857143044,461.0,2.639996727614812,46577.0,46381.0,2026-03-18 14:27:00,2026-03-18 18:53:00,0.004208085535779449,196.0,MYM,tradovate,1m,5,2.5,2026-03-18 10:27:00-04:00,2026-03-18 14:53:00-04:00,2026-03-18 10:27:00,2026-03-18 14:53:00,2026-03,2026-03,2026-03-18,2026-03-17,196.0,490.0,1152.5
SHORT,NYPM_CONTINUATION,C2C3,PULLBACK_1M,A,24610.5,24700.32857142857,24508.84285714286,24572.67142857143,24508.84285714286,89.82857142857029,101.65714285714057,1.131679389312966,24613.75,24522.25,2026-03-18 18:16:00,2026-03-18 19:20:00,0.003717434360875571,183.0,NQ,tradovate,1m,5,10.0,2026-03-18 14:16:00-04:00,2026-03-18 15:20:00-04:00,2026-03-18 14:16:00,2026-03-18 15:20:00,2026-03,2026-03,2026-03-18,2026-03-17,91.5,915.0,1016.5714285714057
SHORT,NYPM_CONTINUATION,C2C3,PULLBACK_1M,A,24610.5,24700.32857142857,24508.84285714286,24572.67142857143,24508.84285714286,89.82857142857029,101.65714285714057,1.131679389312966,24613.75,24508.84285714286,2026-03-18 18:16:00,2026-03-18 19:21:00,0.0042621357110208535,209.81428571428114,NQ,tradovate,1m,5,10.0,2026-03-18 14:16:00-04:00,2026-03-18 15:21:00-04:00,2026-03-18 14:16:00,2026-03-18 15:21:00,2026-03,2026-03,2026-03-18,2026-03-17,104.90714285714057,1049.0714285714057,1016.5714285714057
SHORT,NYPM_CONTINUATION,iFVG,PULLBACK_1M,B,6644.75,6665.149107142857,6603.9517857142855,6624.350892857143,6603.9517857142855,20.399107142857247,40.798214285714494,2.0,6645.0,6624.0,2026-03-18 19:00:00,2026-03-18 20:03:00,0.0031602708803611934,168.0,MES,tradovate,1m,5,25.0,2026-03-18 15:00:00-04:00,2026-03-18 16:03:00-04:00,2026-03-18 15:00:00,2026-03-18 16:03:00,2026-03,2026-03,2026-03-18,2026-03-17,21.0,525.0,1019.9553571428623
SHORT,NYAM_CONTINUATION,iFVG,PULLBACK_1M,B,46575.0,46749.62142857143,46114.0,46417.87857142857,46114.0,174.62142857143044,461.0,2.639996727614812,46577.0,46114.0,2026-03-18 14:27:00,2026-03-18 20:15:00,0.00994052858707084,463.0,MYM,tradovate,1m,5,2.5,2026-03-18 10:27:00-04:00,2026-03-18 16:15:00-04:00,2026-03-18 10:27:00,2026-03-18 16:15:00,2026-03,2026-03,2026-03-18,2026-03-17,463.0,1157.5,1152.5
SHORT,NYPM_CONTINUATION,iFVG,PULLBACK_1M,B,6644.75,6665.149107142857,6603.9517857142855,6624.350892857143,6603.9517857142855,20.399107142857247,40.798214285714494,2.0,6645.0,6603.9517857142855,2026-03-18 19:00:00,2026-03-18 20:27:00,0.006177308395141412,287.33750000000146,MES,tradovate,1m,5,25.0,2026-03-18 15:00:00-04:00,2026-03-18 16:27:00-04:00,2026-03-18 15:00:00,2026-03-18 16:27:00,2026-03,2026-03,2026-03-18,2026-03-17,41.048214285714494,1026.2053571428623,1019.9553571428623
SHORT,ASIA_CONTINUATION,C2C3,PULLBACK_1M,B,46163.0,46257.75,46032.75,46107.75,46032.75,94.75,130.25,1.3746701846965699,46159.0,46257.75,2026-03-19 02:01:00,2026-03-19 02:12:00,-0.0021393444398709605,-197.5,MYM,tradovate,1m,5,2.5,2026-03-18 22:01:00-04:00,2026-03-18 22:12:00-04:00,2026-03-18 22:01:00,2026-03-18 22:12:00,2026-03,2026-03,2026-03-18,2026-03-18,-98.75,-246.875,325.625
SHORT,LONDON_CONTINUATION,iFVG,PULLBACK_1M,A,4828.95,4845.047142857144,4504.4,4812.852857142856,4504.4,16.097142857143808,324.5500000000002,20.161963081290974,4829.3,4809.9,2026-03-19 06:18:00,2026-03-19 06:35:00,0.00401714534197517,194.00000000000546,MGC,tradovate,1m,5,50.0,2026-03-19 02:18:00-04:00,2026-03-19 02:35:00-04:00,2026-03-19 02:18:00,2026-03-19 02:35:00,2026-03,2026-03,2026-03-19,2026-03-18,19.400000000000546,970.0000000000273,16227.50000000001
SHORT,LONDON_CONTINUATION,iFVG,PULLBACK_1M,A,24555.25,24582.0,24300.0,24532.0,24300.0,26.75,255.25,9.542056074766355,24555.5,24582.0,2026-03-19 07:56:00,2026-03-19 08:00:00,-0.0010791879619638234,-106.0,NQ,tradovate,1m,5,10.0,2026-03-19 03:56:00-04:00,2026-03-19 04:00:00-04:00,2026-03-19 03:56:00,2026-03-19 04:00:00,2026-03,2026-03,2026-03-19,2026-03-18,-26.5,-265.0,2552.5
