variant,exit_month_et,symbol,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,avg_points_per_trade,gross_return_pct_on_50k,win_rate_pct
type2_baseline,2025-08,MYM,2,-245.625,-98.25,-122.8125,-49.125,-0.49125,0.0
type2_baseline,2025-09,MCL,1,-289.99999999999915,-0.5799999999999983,-289.99999999999915,-0.5799999999999983,-0.5799999999999983,0.0
type2_baseline,2025-09,MES,2,-450.0,-18.0,-225.0,-9.0,-0.8999999999999999,0.0
type2_baseline,2025-09,MGC,15,229.99999999999545,4.599999999999909,15.33333333333303,0.3066666666666606,0.4599999999999911,26.666666666666668
type2_baseline,2025-09,MNQ,6,202.5,20.25,33.75,3.375,0.40500000000000025,50.0
type2_baseline,2025-09,MYM,3,1236.40625,494.5625,412.1354166666667,164.85416666666666,2.4728125,100.0
type2_baseline,2025-10,MCL,1,195.00000000000028,0.39000000000000057,195.00000000000028,0.39000000000000057,0.39000000000000057,100.0
type2_baseline,2025-10,MES,5,-1425.0,-57.0,-285.0,-11.4,-2.85,20.0
type2_baseline,2025-10,MGC,9,5611.874999999964,112.23749999999927,623.5416666666626,12.470833333333253,11.223749999999926,44.44444444444444
type2_baseline,2025-10,MNQ,9,-2142.5,-214.25,-238.05555555555554,-23.805555555555557,-4.285,22.22222222222222
type2_baseline,2025-10,MYM,6,1664.6875,665.875,277.4479166666667,110.97916666666667,3.329375,100.0
type2_baseline,2025-11,MGC,6,1597.5000000000136,31.950000000000273,266.2500000000023,5.3250000000000455,3.1950000000000274,66.66666666666666
type2_baseline,2025-11,MNQ,8,3952.5,395.25,494.0625,49.40625,7.904999999999999,50.0
type2_baseline,2025-11,MYM,3,-761.875,-304.75,-253.95833333333334,-101.58333333333333,-1.5237500000000002,0.0
type2_baseline,2025-12,MES,2,-612.5,-24.5,-306.25,-12.25,-1.225,0.0
type2_baseline,2025-12,MGC,6,-2219.999999999982,-44.399999999999636,-369.999999999997,-7.399999999999939,-4.439999999999964,0.0
type2_baseline,2025-12,MNQ,15,5306.25,530.625,353.75,35.375,10.6125,66.66666666666666
type2_baseline,2025-12,MYM,1,-65.625,-26.25,-65.625,-26.25,-0.13125,0.0
type2_baseline,2026-01,MES,5,-275.0,-11.0,-55.0,-2.2,-0.55,40.0
type2_baseline,2026-01,MGC,17,4401.875000000064,88.03750000000127,258.9338235294155,5.17867647058831,8.803750000000127,52.94117647058824
type2_baseline,2026-01,MNQ,9,7262.5,726.25,806.9444444444445,80.69444444444444,14.524999999999999,44.44444444444444
type2_baseline,2026-02,MES,9,1506.25,60.25,167.36111111111111,6.694444444444445,3.0125,66.66666666666666
type2_baseline,2026-02,MGC,5,-1667.5000000000637,-33.35000000000127,-333.50000000001273,-6.670000000000255,-3.335000000000128,40.0
type2_baseline,2026-02,MNQ,12,10080.625,1008.0625,840.0520833333334,84.00520833333333,20.16125,66.66666666666666
type2_baseline,2026-02,MYM,5,538.75,215.5,107.75,43.1,1.0775,40.0
type2_baseline,2026-03,MCL,2,765.0000000000006,1.5300000000000011,382.5000000000003,0.7650000000000006,1.5300000000000011,50.0
type2_baseline,2026-03,MES,4,-687.5,-27.5,-171.875,-6.875,-1.375,25.0
type2_baseline,2026-03,MGC,2,-930.0000000000182,-18.600000000000364,-465.0000000000091,-9.300000000000182,-1.8600000000000365,0.0
type2_baseline,2026-03,MNQ,11,3420.0,342.0,310.90909090909093,31.09090909090909,6.84,36.36363636363637
type2_baseline,2026-03,MYM,3,-1044.375,-417.75,-348.125,-139.25,-2.08875,0.0
type2_baseline,2026-04,MCL,1,-539.9999999999991,-1.0799999999999983,-539.9999999999991,-1.0799999999999983,-1.079999999999998,0.0
type2_baseline,2026-04,MNQ,1,-232.5,-23.25,-232.5,-23.25,-0.46499999999999997,0.0
