variant,exit_month_et,symbol,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,avg_points_per_trade,gross_return_pct_on_50k,win_rate_pct
type2_baseline,2025-09,MCL,1,-289.99999999999915,-0.5799999999999983,-289.99999999999915,-0.5799999999999983,-0.5799999999999983,0.0
type2_baseline,2025-09,MES,2,-450.0,-18.0,-225.0,-9.0,-0.8999999999999999,0.0
type2_baseline,2025-09,MGC,15,229.99999999999545,4.599999999999909,15.33333333333303,0.3066666666666606,0.4599999999999911,26.666666666666668
type2_baseline,2025-09,MNQ,8,527.5,52.75,65.9375,6.59375,1.0550000000000002,62.5
type2_baseline,2025-09,MYM,3,1236.40625,494.5625,412.1354166666667,164.85416666666666,2.4728125,100.0
type2_baseline,2025-10,MCL,1,195.00000000000028,0.39000000000000057,195.00000000000028,0.39000000000000057,0.39000000000000057,100.0
type2_baseline,2025-10,MES,5,-1425.0,-57.0,-285.0,-11.4,-2.85,20.0
type2_baseline,2025-10,MGC,12,5369.374999999945,107.38749999999891,447.44791666666214,8.948958333333243,10.73874999999989,41.66666666666667
type2_baseline,2025-10,MNQ,9,-2142.5,-214.25,-238.05555555555554,-23.805555555555557,-4.285,22.22222222222222
type2_baseline,2025-10,MYM,6,1664.6875,665.875,277.4479166666667,110.97916666666667,3.329375,100.0
type2_baseline,2025-11,MES,4,3981.25,159.25,995.3125,39.8125,7.9624999999999995,75.0
type2_baseline,2025-11,MGC,7,1597.5000000000136,31.950000000000273,228.21428571428766,4.564285714285753,3.1950000000000274,57.14285714285714
type2_baseline,2025-11,MNQ,11,10320.0,1032.0,938.1818181818181,93.81818181818181,20.639999999999997,63.63636363636363
type2_baseline,2025-11,MYM,4,-947.5,-379.0,-236.875,-94.75,-1.895,0.0
type2_baseline,2025-12,MES,3,-762.5,-30.5,-254.16666666666666,-10.166666666666666,-1.5250000000000001,0.0
type2_baseline,2025-12,MGC,9,-3052.4999999999636,-61.04999999999927,-339.16666666666265,-6.783333333333252,-6.104999999999928,0.0
type2_baseline,2025-12,MNQ,15,5306.25,530.625,353.75,35.375,10.6125,66.66666666666666
