side,setup_type,bridge_type,entry_variant,setup_tier,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,entry_time,exit_time,return_pct,pnl,symbol,exchange,timeframe,report_contracts,dollars_per_point,entry_time_et,exit_time_et,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et,calendar_exit_date_et,exit_apex_session_date,realized_points,gross_pnl_dollars_dynamic,planned_target_dollars_dynamic,entry_in_apex_hours,exit_in_apex_hours,apex_hours_ok,forced_flat_before_close_ok
SHORT,NYPM_CONTINUATION,C2C3,PULLBACK_1M,A,25135.25,25184.85892857143,24855.75,25086.64107142857,24855.75,49.608928571429715,279.5,5.634066448291868,25136.25,25085.0,2025-12-15 19:16:00,2025-12-15 21:00:00,0.0020388880600725745,102.5,NQ,tradovate,1m,5,10.0,2025-12-15 14:16:00-05:00,2025-12-15 16:00:00-05:00,2025-12-15 14:16:00,2025-12-15 16:00:00,2025-12,2025-12,2025-12-15,2025-12-14,51.25,512.5,2795.0,True,True,True,True
SHORT,NYPM_CONTINUATION,C2C3,PULLBACK_1M,A,25135.25,25184.85892857143,24855.75,25086.64107142857,24855.75,49.608928571429715,279.5,5.634066448291868,25136.25,25098.5,2025-12-15 19:16:00,2025-12-15 21:51:00,0.0015018151076632291,37.75,NQ,tradovate,1m,5,10.0,2025-12-15 14:16:00-05:00,2025-12-15 16:51:00-05:00,2025-12-15 14:16:00,2025-12-15 16:51:00,2025-12,2025-12,2025-12-15,2025-12-14,37.75,377.5,2795.0,True,True,True,True
SHORT,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,24848.0,24886.25,24811.25,24836.25,24811.25,38.25,36.75,0.9607843137254902,24846.5,24886.25,2025-12-16 07:38:00,2025-12-16 07:56:00,-0.0015998229126839014,-159.0,NQ,tradovate,1m,5,10.0,2025-12-16 02:38:00-05:00,2025-12-16 02:56:00-05:00,2025-12-16 02:38:00,2025-12-16 02:56:00,2025-12,2025-12,2025-12-16,2025-12-15,-39.75,-397.5,367.5,True,True,True,True
SHORT,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,6780.75,6791.0,6761.0,6771.0,6761.0,10.25,19.75,1.9268292682926829,6780.75,6791.0,2025-12-16 05:57:00,2025-12-16 08:06:00,-0.0015116321940789046,-143.5,MES,tradovate,1m,5,25.0,2025-12-16 00:57:00-05:00,2025-12-16 03:06:00-05:00,2025-12-16 00:57:00,2025-12-16 03:06:00,2025-12,2025-12,2025-12-16,2025-12-15,-10.25,-256.25,493.75,True,True,True,True
SHORT,NYPM_CONTINUATION,iFVG,PULLBACK_1M,B,6736.5,6746.5,6716.5,6726.5,6716.5,10.0,20.0,2.0,6737.5,6725.5,2025-12-17 18:47:00,2025-12-17 20:56:00,0.0017810760667903436,84.0,MES,tradovate,1m,5,25.0,2025-12-17 13:47:00-05:00,2025-12-17 15:56:00-05:00,2025-12-17 13:47:00,2025-12-17 15:56:00,2025-12,2025-12,2025-12-17,2025-12-16,12.0,300.0,500.0,True,True,True,True
SHORT,NYPM_CONTINUATION,iFVG,PULLBACK_1M,B,6736.5,6746.5,6716.5,6726.5,6716.5,10.0,20.0,2.0,6737.5,6737.5,2025-12-17 18:47:00,2025-12-17 21:09:00,-0.0,-0.0,MES,tradovate,1m,5,25.0,2025-12-17 13:47:00-05:00,2025-12-17 16:09:00-05:00,2025-12-17 13:47:00,2025-12-17 16:09:00,2025-12,2025-12,2025-12-17,2025-12-16,0.0,0.0,500.0,True,True,True,True
SHORT,NYAM_CONTINUATION,iFVG,PULLBACK_1M,B,24829.5,25018.314285714285,24451.87142857143,24640.685714285715,24451.87142857143,188.81428571428478,377.62857142856956,2.0,24834.0,24735.25,2025-12-17 15:53:00,2025-12-17 21:51:00,0.003976403318031729,395.0,NQ,tradovate,1m,5,10.0,2025-12-17 10:53:00-05:00,2025-12-17 16:51:00-05:00,2025-12-17 10:53:00,2025-12-17 16:51:00,2025-12,2025-12,2025-12-17,2025-12-16,98.75,987.5,3776.2857142856956,True,True,True,True
LONG,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,4431.7,4427.25,4530.6,4435.25,4530.6,4.449999999999818,98.90000000000055,22.224719101124627,4431.6,4435.7,2025-12-22 05:11:00,2025-12-22 05:25:00,0.0009251737521436265,45.099999999994,MGC,tradovate,1m,5,50.0,2025-12-22 00:11:00-05:00,2025-12-22 00:25:00-05:00,2025-12-22 00:11:00,2025-12-22 00:25:00,2025-12,2025-12,2025-12-22,2025-12-21,4.099999999999454,204.99999999997272,4945.000000000027,True,True,True,True
LONG,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,4431.7,4427.25,4530.6,4435.25,4530.6,4.449999999999818,98.90000000000055,22.224719101124627,4431.6,4431.6,2025-12-22 05:11:00,2025-12-22 05:42:00,0.0,0.0,MGC,tradovate,1m,5,50.0,2025-12-22 00:11:00-05:00,2025-12-22 00:42:00-05:00,2025-12-22 00:11:00,2025-12-22 00:42:00,2025-12,2025-12,2025-12-22,2025-12-21,0.0,0.0,4945.000000000027,True,True,True,True
LONG,ASIA_CONTINUATION,C2C3,PULLBACK_1M,B,25674.75,25649.75,25794.75,25699.75,25794.75,25.0,120.0,4.8,25674.5,25699.25,2025-12-22 05:34:00,2025-12-22 07:04:00,0.0009639915090848827,49.5,NQ,tradovate,1m,5,10.0,2025-12-22 00:34:00-05:00,2025-12-22 02:04:00-05:00,2025-12-22 00:34:00,2025-12-22 02:04:00,2025-12,2025-12,2025-12-22,2025-12-21,24.75,247.5,1200.0,True,True,True,True
