exit_apex_session_date,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,win_rate_pct,cumulative_pnl_dollars
2025-11-17,2,151.25,81.25,75.625,100.0,4735.611607142873
2025-11-25,2,-30.724999999998545,3.7625000000007276,-15.362499999999272,50.0,4704.886607142875
2025-11-26,1,26.0,26.0,26.0,100.0,4730.886607142875
2025-11-27,1,62.0,31.0,62.0,100.0,4792.886607142875
2025-12-01,3,-66.25,-3.25,-22.083333333333332,33.33333333333333,4726.636607142875
2025-12-02,1,-66.0,-22.0,-66.0,0.0,4660.636607142875
2025-12-03,2,96.75,64.75,48.375,100.0,4757.386607142875
2025-12-04,1,-79.5,-26.5,-79.5,0.0,4677.886607142875
2025-12-07,3,-230.27946428571522,-76.75982142857174,-76.75982142857174,0.0,4447.6071428571595
2025-12-09,2,-23.75,1.5,-11.875,50.0,4423.8571428571595
2025-12-21,2,28.0,28.0,14.0,50.0,4451.8571428571595
2025-12-23,1,-95.25,-31.75,-95.25,0.0,4356.6071428571595
2025-12-25,2,30.25,30.25,15.125,50.0,4386.8571428571595
2026-01-01,2,-30.25,1.25,-15.125,50.0,4356.6071428571595
2026-01-05,1,-87.0,-29.0,-87.0,0.0,4269.6071428571595
2026-01-06,2,128.75,77.25,64.375,100.0,4398.3571428571595
2026-01-08,2,31.5,31.5,15.75,50.0,4429.8571428571595
2026-01-12,2,49.0,49.0,24.5,50.0,4478.8571428571595
2026-01-14,2,30.0,30.0,15.0,50.0,4508.8571428571595
2026-01-15,1,-75.75,-25.25,-75.75,0.0,4433.1071428571595
2026-01-19,2,35.0,35.0,17.5,50.0,4468.1071428571595
2026-01-25,4,468.5,284.25,117.125,75.0,4936.6071428571595
2026-01-26,4,153.5,104.25,38.375,75.0,5090.1071428571595
2026-01-27,3,-115.09553571428478,-28.61517857142826,-38.36517857142826,33.33333333333333,4975.011607142875
2026-01-28,1,-69.0,-23.0,-69.0,0.0,4906.011607142875
2026-02-03,2,822.75,432.25,411.375,100.0,5728.761607142875
2026-02-10,2,25.75,25.75,12.875,50.0,5754.511607142875
2026-02-16,2,-60.25,-0.75,-30.125,50.0,5694.261607142875
2026-02-19,1,-100.0,-25.0,-100.0,0.0,5594.261607142875
2026-02-23,1,-123.0,-30.75,-123.0,0.0,5471.261607142875
2026-02-24,2,545.25,300.25,272.625,100.0,6016.511607142875
2026-02-25,1,-74.25,-24.75,-74.25,0.0,5942.261607142875
2026-03-01,1,-115.07857142857392,-28.76964285714348,-115.07857142857392,0.0,5827.183035714301
2026-03-04,2,44.75,41.75,22.375,100.0,5871.933035714301
2026-03-12,3,394.5749999999971,159.14374999999927,131.52499999999904,66.66666666666666,6266.508035714298
2026-03-16,1,-113.0,-28.25,-113.0,0.0,6153.508035714298
2026-03-18,2,-273.0,-68.25,-136.5,0.0,5880.508035714298
2026-03-19,2,434.75,192.75,217.375,100.0,6315.258035714298
2026-03-22,2,28.5,28.5,14.25,50.0,6343.758035714298
2026-03-25,2,27.75,27.75,13.875,50.0,6371.508035714298
2026-03-26,4,1696.25,616.75,424.0625,100.0,8067.758035714298
2026-03-29,2,254.0,111.0,127.0,100.0,8321.758035714298
2026-04-01,2,-42.25,5.25,-21.125,50.0,8279.508035714298
