side,setup_type,bridge_type,setup_tier,entry_variant,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,realized_points,realized_dollars_5_mnq,return_pct,pnl,cycle_realized_pnl,best_day_pnl_in_cycle,consistency_ratio,prop_daily_loss_limit,prop_max_drawdown_limit,entry_apex_session_date,exit_apex_session_date,calendar_exit_date_et,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,23116.5,23091.5,23222.75,23141.5,23222.75,25.0,106.25,4.25,23115.0,23141.25,26.25,262.5,0.001135626216742347,52.5,1026.8187500000022,1352.0,1.3166880717750793,-1000.0,-2000.0,2025-07-14,2025-07-14,2025-07-15,2025-07-15 00:59:00,2025-07-15 01:12:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23115.0,23115.0,0.0,0.0,0.0,0.0,1026.8187500000022,1352.0,1.3166880717750793,-1000.0,-2000.0,2025-07-14,2025-07-14,2025-07-15,2025-07-15 00:59:00,2025-07-15 10:54:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23072.75,23062.75,-10.0,-100.0,-0.00043341170861732614,-30.0,996.8187500000022,1352.0,1.3563147763823635,-1000.0,-2000.0,2025-07-15,2025-07-15,2025-07-16,2025-07-16 15:00:00,2025-07-16 16:56:00,2025-07,2025-07
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,23041.5,23016.5,23287.25,23066.5,23287.25,25.0,245.75,9.83,23040.25,23065.25,25.0,250.0,0.001085057670815237,50.0,1046.8187500000022,1352.0,1.2915320823208385,-1000.0,-2000.0,2025-07-16,2025-07-16,2025-07-17,2025-07-17 00:55:00,2025-07-17 01:33:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23040.25,23267.0,226.75,2267.5,0.00984147307429395,226.75,1273.5687500000022,1352.0,1.0615838367579273,-1000.0,-2000.0,2025-07-16,2025-07-16,2025-07-17,2025-07-17 00:55:00,2025-07-17 16:56:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23268.5,23244.5,-24.0,-240.0,-0.0010314373509250352,-48.0,1225.5687500000022,1352.0,1.1031612873614782,-1000.0,-2000.0,2025-07-20,2025-07-20,2025-07-20,2025-07-20 22:18:00,2025-07-20 23:50:00,2025-07,2025-07
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,23265.0,23240.0,23424.75,23290.0,23424.75,25.0,159.75,6.39,23264.75,23292.25,27.5,275.0,0.0011820457989017985,27.5,1253.0687500000022,1352.0,1.0789511748657028,-1000.0,-2000.0,2025-07-20,2025-07-20,2025-07-21,2025-07-21 00:29:00,2025-07-21 02:23:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23264.75,23264.75,0.0,0.0,0.0,0.0,1253.0687500000022,1352.0,1.0789511748657028,-1000.0,-2000.0,2025-07-20,2025-07-20,2025-07-21,2025-07-21 00:29:00,2025-07-21 08:42:00,2025-07,2025-07
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,23254.25,23229.25,23422.75,23279.25,23422.75,25.0,168.5,6.74,23252.0,23276.5,24.5,245.0,0.0010536728023395892,24.5,1277.5687500000022,1352.0,1.0582600740664623,-1000.0,-2000.0,2025-07-22,2025-07-22,2025-07-23,2025-07-23 02:29:00,2025-07-23 03:21:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23252.0,23229.25,-22.75,-227.5,-0.0009784104593153486,-22.75,1254.8187500000022,1352.0,1.077446443958538,-1000.0,-2000.0,2025-07-22,2025-07-22,2025-07-23,2025-07-23 02:29:00,2025-07-23 09:30:00,2025-07,2025-07
