side,setup_type,bridge_type,setup_tier,entry_variant,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,realized_points,realized_dollars_5_mnq,return_pct,pnl,cycle_realized_pnl,best_day_pnl_in_cycle,consistency_ratio,qualifying_days_count,prop_daily_loss_limit,prop_max_drawdown_limit,prop_qualifying_day_target,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et
LONG,,,,PULLBACK_1M,,,,,,,,,22444.0,22475.5,31.5,315.0,,63.0,666.5,1295.0,1.9429857464366092,2,-1000.0,-2000.0,150.0,2025-06-25 15:09:00,2025-06-25 16:02:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,22444.0,22469.5,25.5,255.0,,25.5,692.0,1295.0,1.8713872832369942,3,-1000.0,-2000.0,150.0,2025-06-25 15:09:00,2025-06-25 16:56:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,22480.75,22505.75,25.0,250.0,,50.0,742.0,1295.0,1.7452830188679245,3,-1000.0,-2000.0,150.0,2025-06-25 22:11:00,2025-06-26 01:53:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,22480.75,22548.25,67.5,675.0,,67.5,809.5,1295.0,1.5997529339098209,3,-1000.0,-2000.0,150.0,2025-06-25 22:11:00,2025-06-26 03:17:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,22576.25,22543.60625,-32.64374999999927,-326.4374999999927,,-97.93124999999782,711.5687500000022,1295.0,1.819922530324717,3,-1000.0,-2000.0,150.0,2025-06-26 04:26:00,2025-06-26 06:03:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,22667.0,22642.25,-24.75,-247.5,,-74.25,637.3187500000022,1295.0,2.031950260368137,3,-1000.0,-2000.0,150.0,2025-06-26 14:54:00,2025-06-26 16:04:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,22688.25,22716.5,28.25,282.5,,56.5,693.8187500000022,1295.0,1.8664817000117047,3,-1000.0,-2000.0,150.0,2025-06-26 20:06:00,2025-06-27 01:52:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,22688.25,22735.25,47.0,470.0,,47.0,740.8187500000022,1295.0,1.748065906809184,3,-1000.0,-2000.0,150.0,2025-06-26 20:06:00,2025-06-27 02:36:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,22733.5,22757.25,23.75,237.5,,47.5,788.3187500000022,1295.0,1.642736519967331,4,-1000.0,-2000.0,150.0,2025-06-27 03:08:00,2025-06-27 07:13:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,22733.5,22733.5,0.0,0.0,,0.0,788.3187500000022,1295.0,1.642736519967331,4,-1000.0,-2000.0,150.0,2025-06-27 03:08:00,2025-06-27 08:42:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,22835.0,22862.0,27.0,270.0,,54.0,842.3187500000022,1295.0,1.5374227393133497,4,-1000.0,-2000.0,150.0,2025-06-29 20:33:00,2025-06-29 22:45:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,22835.0,22885.0,50.0,500.0,,50.0,892.3187500000022,1295.0,1.4512751188966913,4,-1000.0,-2000.0,150.0,2025-06-29 20:33:00,2025-06-30 00:42:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,22865.25,22836.0,-29.25,-292.5,,-87.75,804.5687500000022,1295.0,1.6095579153428423,4,-1000.0,-2000.0,150.0,2025-07-02 21:26:00,2025-07-02 22:29:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,22848.0,22872.75,24.75,247.5,,49.5,854.0687500000022,1295.0,1.5162713774505818,4,-1000.0,-2000.0,150.0,2025-07-02 22:50:00,2025-07-02 23:27:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,22848.0,22898.0,50.0,500.0,,50.0,904.0687500000022,1295.0,1.4324131876032624,4,-1000.0,-2000.0,150.0,2025-07-02 22:50:00,2025-07-03 03:39:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,22963.25,22938.0,-25.25,-252.5,,-75.75,828.3187500000022,1295.0,1.563407806475462,4,-1000.0,-2000.0,150.0,2025-07-08 03:53:00,2025-07-08 04:39:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23014.25,23041.75,27.5,275.0,,55.0,883.3187500000022,1295.0,1.466061939701831,4,-1000.0,-2000.0,150.0,2025-07-09 14:08:00,2025-07-09 15:20:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23014.25,23041.25,27.0,270.0,,27.0,910.3187500000022,1295.0,1.4225786297382064,4,-1000.0,-2000.0,150.0,2025-07-09 14:08:00,2025-07-09 16:56:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,22998.25,23030.25,32.0,320.0,,64.0,974.3187500000022,1295.0,1.329133817859912,4,-1000.0,-2000.0,150.0,2025-07-10 03:20:00,2025-07-10 04:23:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,22998.25,22998.25,0.0,0.0,,0.0,974.3187500000022,1295.0,1.329133817859912,4,-1000.0,-2000.0,150.0,2025-07-10 03:20:00,2025-07-10 09:49:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23115.0,23141.25,26.25,262.5,,52.5,1026.8187500000022,1295.0,1.261176814311189,4,-1000.0,-2000.0,150.0,2025-07-15 00:59:00,2025-07-15 01:12:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23115.0,23115.0,0.0,0.0,,0.0,1026.8187500000022,1295.0,1.261176814311189,4,-1000.0,-2000.0,150.0,2025-07-15 00:59:00,2025-07-15 10:54:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23072.75,23062.75,-10.0,-100.0,,-30.0,996.8187500000022,1295.0,1.2991328664313317,4,-1000.0,-2000.0,150.0,2025-07-16 15:00:00,2025-07-16 16:56:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23040.25,23065.25,25.0,250.0,,50.0,1046.8187500000022,1295.0,1.2370813954182587,4,-1000.0,-2000.0,150.0,2025-07-17 00:55:00,2025-07-17 01:33:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23040.25,23267.0,226.75,2267.5,,226.75,1273.5687500000022,1295.0,1.0168277134626598,5,-1000.0,-2000.0,150.0,2025-07-17 00:55:00,2025-07-17 16:56:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23268.5,23244.5,-24.0,-240.0,,-48.0,1225.5687500000022,1295.0,1.0566522685895816,5,-1000.0,-2000.0,150.0,2025-07-20 22:18:00,2025-07-20 23:50:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23264.75,23292.25,27.5,275.0,,27.5,1253.0687500000022,1295.0,1.033462848706424,5,-1000.0,-2000.0,150.0,2025-07-21 00:29:00,2025-07-21 02:23:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23264.75,23264.75,0.0,0.0,,0.0,1253.0687500000022,1295.0,1.033462848706424,5,-1000.0,-2000.0,150.0,2025-07-21 00:29:00,2025-07-21 08:42:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23252.0,23276.5,24.5,245.0,,24.5,1277.5687500000022,1295.0,1.0136440798195774,5,-1000.0,-2000.0,150.0,2025-07-23 02:29:00,2025-07-23 03:21:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23252.0,23229.25,-22.75,-227.5,,-22.75,1254.8187500000022,1295.0,1.032021556898156,5,-1000.0,-2000.0,150.0,2025-07-23 02:29:00,2025-07-23 09:30:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23302.25,23270.75,-31.5,-315.0,,-63.0,1191.8187500000022,1295.0,1.0865746154773934,5,-1000.0,-2000.0,150.0,2025-07-23 15:00:00,2025-07-23 15:42:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23399.25,23376.25,-23.0,-230.0,,-46.0,1145.8187500000022,1295.0,1.1301962024971206,5,-1000.0,-2000.0,150.0,2025-07-23 20:18:00,2025-07-23 23:58:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23380.75,23355.25,-25.5,-255.0,,-51.0,1094.8187500000022,1295.0,1.1828441922464312,5,-1000.0,-2000.0,150.0,2025-07-24 00:57:00,2025-07-24 02:45:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23438.0,23411.75,-26.25,-262.5,,-52.5,1042.3187500000022,1295.0,1.2424222436754566,5,-1000.0,-2000.0,150.0,2025-07-24 23:17:00,2025-07-25 00:36:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23552.75,23579.0,26.25,262.5,,26.25,1068.5687500000022,1295.0,1.211901433576452,5,-1000.0,-2000.0,150.0,2025-07-27 22:30:00,2025-07-28 02:06:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23552.75,23527.5,-25.25,-252.5,,-25.25,1043.3187500000022,1295.0,1.2412314069885135,5,-1000.0,-2000.0,150.0,2025-07-27 22:30:00,2025-07-28 05:24:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23541.0,23567.0,26.0,260.0,,26.0,1069.3187500000022,1295.0,1.2110514287718208,5,-1000.0,-2000.0,150.0,2025-07-28 21:15:00,2025-07-29 03:37:00,2025-07,2025-07
