side,setup_type,bridge_type,setup_tier,entry_variant,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,realized_points,realized_dollars_5_mnq,return_pct,pnl,cycle_realized_pnl,best_day_pnl_in_cycle,consistency_ratio,qualifying_days_count,prop_daily_loss_limit,prop_max_drawdown_limit,prop_qualifying_day_target,entry_time_et,exit_time_et,entry_apex_session_date,exit_apex_session_date,calendar_exit_date_et,entry_month_et,exit_month_et,realized_dollars_10_mnq,report_contracts,realized_dollars_dynamic_contracts,entry_time_et_naive,exit_time_et_naive
SHORT,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,23234.25,23259.5,23025.25,23215.75,23025.25,25.25,209.0,8.277227722772277,23233.5,23233.5,0.0,0.0,-0.0,-0.0,2295.567857142858,1186.25,0.5167566692959568,,-1000.0,-2000.0,,2025-09-02 03:09:30-04:00,2025-09-02 05:51:00-04:00,2025-09-01,2025-09-01,2025-09-02,2025-09,2025-09,0.0,10,0.0,2025-09-02 03:09:30,2025-09-02 05:51:00
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,23767.0,23736.75,23836.75,23780.5,23836.75,30.25,69.75,2.3057851239669422,23766.75,23792.25,25.5,255.0,0.0010729275142793426,25.5,2321.067857142858,1186.25,0.5110794138781563,,-1000.0,-2000.0,,2025-09-04 22:02:00-04:00,2025-09-05 03:12:00-04:00,2025-09-04,2025-09-04,2025-09-05,2025-09,2025-09,510.0,5,255.0,2025-09-04 22:02:00,2025-09-05 03:12:00
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,23767.0,23736.75,23836.75,23780.5,23836.75,30.25,69.75,2.3057851239669422,23766.75,23736.75,-30.0,-300.0,-0.0012622676638581742,-60.0,2261.067857142858,1186.25,0.5246414857707876,,-1000.0,-2000.0,,2025-09-04 22:02:00-04:00,2025-09-05 04:30:00-04:00,2025-09-04,2025-09-04,2025-09-05,2025-09,2025-09,-600.0,5,-300.0,2025-09-04 22:02:00,2025-09-05 04:30:00
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,23940.5,23911.25,24011.25,23955.0,24011.25,29.25,70.75,2.4188034188034186,23940.0,23911.25,-28.75,-287.5,-0.0012009189640768136,-86.25,2174.817857142858,1186.25,0.5454479767599584,,-1000.0,-2000.0,,2025-09-09 22:54:00-04:00,2025-09-10 00:22:30-04:00,2025-09-09,2025-09-09,2025-09-10,2025-09,2025-09,-575.0,5,-287.5,2025-09-09 22:54:00,2025-09-10 00:22:30
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,23929.5,23900.25,24044.25,23944.0,24044.25,29.25,114.75,3.923076923076923,23929.0,23951.5,22.5,225.0,0.0009402816665970981,22.5,2197.317857142858,1186.25,0.539862722247415,,-1000.0,-2000.0,,2025-09-10 03:19:00-04:00,2025-09-10 03:42:30-04:00,2025-09-09,2025-09-09,2025-09-10,2025-09,2025-09,450.0,10,450.0,2025-09-10 03:19:00,2025-09-10 03:42:30
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,23929.5,23900.25,24044.25,23944.0,24044.25,29.25,114.75,3.923076923076923,23929.0,23929.0,0.0,0.0,0.0,0.0,2197.317857142858,1186.25,0.539862722247415,,-1000.0,-2000.0,,2025-09-10 03:19:00-04:00,2025-09-10 05:39:00-04:00,2025-09-09,2025-09-09,2025-09-10,2025-09,2025-09,0.0,10,0.0,2025-09-10 03:19:00,2025-09-10 05:39:00
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,23916.5,23880.5,24044.25,23924.25,24044.25,36.0,127.75,3.548611111111111,23917.0,23944.5,27.5,275.0,0.0011498097587490097,27.5,2224.817857142858,1186.25,0.5331897153699579,,-1000.0,-2000.0,,2025-09-10 23:06:30-04:00,2025-09-11 02:40:30-04:00,2025-09-10,2025-09-10,2025-09-11,2025-09,2025-09,550.0,5,275.0,2025-09-10 23:06:30,2025-09-11 02:40:30
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,23916.5,23880.5,24044.25,23924.25,24044.25,36.0,127.75,3.548611111111111,23917.0,23880.5,-36.5,-365.0,-0.0015261111343395362,-73.0,2151.817857142858,1186.25,0.551278072194772,,-1000.0,-2000.0,,2025-09-10 23:06:30-04:00,2025-09-11 04:30:00-04:00,2025-09-10,2025-09-10,2025-09-11,2025-09,2025-09,-730.0,5,-365.0,2025-09-10 23:06:30,2025-09-11 04:30:00
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,24023.5,23998.5,24159.0,24042.25,24159.0,25.0,135.5,5.42,24023.25,24046.75,23.5,235.0,0.0009782190169940197,23.5,2175.317857142858,1186.25,0.5453226047424923,,-1000.0,-2000.0,,2025-09-12 02:57:00-04:00,2025-09-12 03:59:30-04:00,2025-09-11,2025-09-11,2025-09-12,2025-09,2025-09,470.0,10,470.0,2025-09-12 02:57:00,2025-09-12 03:59:30
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,24023.5,23998.5,24159.0,24042.25,24159.0,25.0,135.5,5.42,24023.25,24112.0,88.75,887.5,0.003694337776945167,177.5,2352.817857142858,1186.25,0.5041826745741047,,-1000.0,-2000.0,,2025-09-12 02:57:00-04:00,2025-09-14 14:00:30-04:00,2025-09-11,2025-09-13,2025-09-14,2025-09,2025-09,1775.0,10,1775.0,2025-09-12 02:57:00,2025-09-14 14:00:30
