side,setup_type,bridge_type,setup_tier,entry_variant,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,realized_points,realized_dollars_5_mnq,return_pct,pnl,cycle_realized_pnl,best_day_pnl_in_cycle,consistency_ratio,qualifying_days_count,prop_daily_loss_limit,prop_max_drawdown_limit,prop_qualifying_day_target,entry_time_et,exit_time_et,entry_apex_session_date,exit_apex_session_date,calendar_exit_date_et,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et,realized_dollars_10_mnq,report_contracts,realized_dollars_dynamic_contracts
LONG,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,21267.0,21242.0,21359.75,21285.75,21359.75,25.0,92.75,3.71,21267.0,21242.0,-25.0,-250.0,-0.0011755301641039884,-75.0,1036.5,1160.25,1.1193921852387845,,-1000.0,-2000.0,,2025-05-26 03:10:00-04:00,2025-05-26 06:30:00-04:00,2025-05-25,2025-05-25,2025-05-26,2025-05-26 03:10:00,2025-05-26 06:30:00,2025-05,2025-05,-500.0,5,-75.0
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,21333.75,21300.75,21488.5,21344.5,21488.5,33.0,154.75,4.6893939393939394,21333.75,21300.75,-33.0,-330.0,-0.0015468447881877845,-132.0,904.5,1160.25,1.2827529021558872,,-1000.0,-2000.0,,2025-05-27 00:24:00-04:00,2025-05-27 00:50:00-04:00,2025-05-26,2025-05-26,2025-05-27,2025-05-27 00:24:00,2025-05-27 00:50:00,2025-05,2025-05,-660.0,5,-132.0
LONG,NYPM_CONTINUATION,C2C3,A,PULLBACK_1M,21472.25,21446.0,21546.0,21489.75,21546.0,26.25,73.75,2.8095238095238093,21471.5,21469.25,-2.25,-22.5,-0.00010479007055863576,-9.0,895.5,1160.25,1.295644891122278,,-1000.0,-2000.0,,2025-05-27 14:59:00-04:00,2025-05-27 16:56:00-04:00,2025-05-26,2025-05-26,2025-05-27,2025-05-27 14:59:00,2025-05-27 16:56:00,2025-05,2025-05,-45.0,5,-9.0
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,21497.0,21469.25,21849.5,21513.0,21849.5,27.75,352.5,12.702702702702704,21496.5,21521.25,24.75,247.5,0.0011513502198032821,24.75,920.25,1160.25,1.26079869600652,,-1000.0,-2000.0,,2025-05-28 03:29:00-04:00,2025-05-28 04:17:00-04:00,2025-05-27,2025-05-27,2025-05-28,2025-05-28 03:29:00,2025-05-28 04:17:00,2025-05,2025-05,495.0,10,24.75
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,21497.0,21469.25,21849.5,21513.0,21849.5,27.75,352.5,12.702702702702704,21496.5,21496.5,0.0,0.0,0.0,0.0,920.25,1160.25,1.26079869600652,,-1000.0,-2000.0,,2025-05-28 03:29:00-04:00,2025-05-28 05:48:00-04:00,2025-05-27,2025-05-27,2025-05-28,2025-05-28 03:29:00,2025-05-28 05:48:00,2025-05,2025-05,0.0,10,0.0
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,21797.0,21772.0,21872.0,21815.75,21872.0,25.0,75.0,3.0,21796.75,21816.75,20.0,200.0,0.000917567986052914,20.0,940.25,1160.25,1.2339803243818133,,-1000.0,-2000.0,,2025-05-28 20:45:00-04:00,2025-05-28 21:44:00-04:00,2025-05-28,2025-05-28,2025-05-28,2025-05-28 20:45:00,2025-05-28 21:44:00,2025-05,2025-05,400.0,5,20.0
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,21797.0,21772.0,21872.0,21815.75,21872.0,25.0,75.0,3.0,21796.75,21772.0,-24.75,-247.5,-0.0011354903827405227,-74.25,866.0,1160.25,1.3397806004618937,,-1000.0,-2000.0,,2025-05-28 20:45:00-04:00,2025-05-28 22:17:00-04:00,2025-05-28,2025-05-28,2025-05-28,2025-05-28 20:45:00,2025-05-28 22:17:00,2025-05,2025-05,-495.0,5,-74.25
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,21292.25,21266.75,21525.75,21310.5,21525.75,25.5,233.5,9.156862745098039,21291.75,21266.75,-25.0,-250.0,-0.0011741637019033746,-100.0,766.0,1160.25,1.514686684073107,,-1000.0,-2000.0,,2025-06-02 04:46:00-04:00,2025-06-02 04:51:00-04:00,2025-06-01,2025-06-01,2025-06-02,2025-06-02 04:46:00,2025-06-02 04:51:00,2025-06,2025-06,-500.0,10,-100.0
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,21293.5,21266.75,21525.75,21310.5,21525.75,26.75,232.25,8.682242990654206,21293.25,21266.75,-26.5,-265.0,-0.0012445258473929854,-106.0,660.0,1160.25,1.7579545454545455,,-1000.0,-2000.0,,2025-06-02 05:01:00-04:00,2025-06-02 05:05:00-04:00,2025-06-01,2025-06-01,2025-06-02,2025-06-02 05:01:00,2025-06-02 05:05:00,2025-06,2025-06,-530.0,10,-106.0
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,21453.75,21428.75,21759.75,21472.5,21759.75,25.0,306.0,12.24,21452.5,21474.5,22.0,220.0,0.001025521500990667,22.0,682.0,1160.25,1.7012463343108504,,-1000.0,-2000.0,,2025-06-03 01:15:00-04:00,2025-06-03 02:43:00-04:00,2025-06-02,2025-06-02,2025-06-03,2025-06-03 01:15:00,2025-06-03 02:43:00,2025-06,2025-06,440.0,5,22.0
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,21453.75,21428.75,21759.75,21472.5,21759.75,25.0,306.0,12.24,21452.5,21711.5,259.0,2590.0,0.012073184943479864,777.0,1459.0,1160.25,0.7952364633310487,,-1000.0,-2000.0,,2025-06-03 01:15:00-04:00,2025-06-03 16:56:00-04:00,2025-06-02,2025-06-02,2025-06-03,2025-06-03 01:15:00,2025-06-03 16:56:00,2025-06,2025-06,5180.0,5,777.0
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,21822.5,21787.75,21887.75,21831.5,21887.75,34.75,65.25,1.8776978417266188,21823.5,21787.75,-35.75,-357.5,-0.001638142369464135,-143.0,1316.0,1160.25,0.8816489361702128,,-1000.0,-2000.0,,2025-06-04 23:57:00-04:00,2025-06-05 00:55:00-04:00,2025-06-04,2025-06-04,2025-06-05,2025-06-04 23:57:00,2025-06-05 00:55:00,2025-06,2025-06,-715.0,5,-143.0
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,21767.25,21741.5,21873.5,21785.25,21873.5,25.75,106.25,4.12621359223301,21767.0,21787.25,20.25,202.5,0.0009303073459825395,20.25,1336.25,1160.25,0.868288119738073,,-1000.0,-2000.0,,2025-06-08 22:55:00-04:00,2025-06-08 23:50:00-04:00,2025-06-08,2025-06-08,2025-06-08,2025-06-08 22:55:00,2025-06-08 23:50:00,2025-06,2025-06,405.0,5,20.25
